,doc,page,min,max,year,pos,len,blocks_on_page,group
137,Economics-1955-0,15,0.29119372,0.29902151,1955.0,center,0.007827790000000001,90,E5
138,Economics-1955-0,15,0.29080236,0.29902151,1955.0,center,0.008219150000000008,90,E5
139,Economics-1955-0,15,0.29158512000000003,0.29941291000000003,1955.0,center,0.007827790000000001,90,E5
140,Economics-1955-0,15,0.28767124,0.30645794,1955.0,center,0.01878669999999999,90,E5
141,Economics-1955-0,15,0.2857143,0.30254403,1955.0,center,0.016829730000000043,90,E5
142,Economics-1955-0,15,0.29119372,0.29941291000000003,1955.0,center,0.008219190000000043,90,E5
143,Economics-1955-0,15,0.29080236,0.29980429999999997,1955.0,center,0.009001939999999986,90,E5
144,Economics-1955-0,15,0.28884539,0.30645794,1955.0,center,0.017612550000000005,90,E5
145,Economics-1955-0,15,0.33072406,0.36712328,1955.0,center,0.03639922000000001,90,E5
146,Economics-1955-0,15,0.32915851,0.36712328,1955.0,center,0.03796476999999998,90,E5
147,Economics-1955-0,15,0.35733855000000003,0.36634052,1955.0,center,0.00900196999999997,90,E5
148,Economics-1955-0,15,0.35772994,0.36594912,1955.0,center,0.008219179999999993,90,E5
149,Economics-1955-0,15,0.39647749,0.43405089,1955.0,center,0.037573400000000035,90,E5
150,Economics-1955-0,15,0.39647749,0.40587085,1955.0,center,0.009393360000000017,90,E5
151,Economics-1955-0,15,0.39726028,0.40626222,1955.0,center,0.009001939999999986,90,E5
152,Economics-1955-0,15,0.41095892,0.41917807,1955.0,center,0.008219150000000008,90,E5
153,Economics-1955-0,15,0.41017613,0.41878669999999996,1955.0,center,0.008610569999999929,90,E5
154,Economics-1955-0,15,0.42309198000000003,0.43248531,1955.0,center,0.009393329999999978,90,E5
155,Economics-1955-0,15,0.42426616,0.43287671,1955.0,center,0.008610549999999995,90,E5
156,Economics-1955-0,15,0.42426616,0.43209395,1955.0,center,0.007827790000000001,90,E5
157,Economics-1955-0,15,0.4074364,0.42191779999999995,1955.0,center,0.014481399999999978,90,E5
158,Economics-1955-0,15,0.42348337,0.43405089,1955.0,center,0.010567519999999997,90,E5
159,Economics-1955-0,15,0.43561643,0.44814089,1955.0,center,0.012524460000000015,90,E5
160,Economics-1955-0,15,0.44814089,0.46066537,1955.0,center,0.012524480000000004,90,E5
161,Economics-1955-0,15,0.46105674,0.47514677,1955.0,center,0.014090029999999976,90,E5
162,Economics-1955-0,15,0.46262231000000004,0.47318983000000003,1955.0,center,0.010567519999999997,90,E5
163,Economics-1955-0,15,0.46340509999999996,0.47240704,1955.0,center,0.009001940000000042,90,E5
164,Economics-1955-0,15,0.46418786,0.47201565,1955.0,center,0.007827790000000001,90,E5
165,Economics-1955-0,15,0.46418786,0.47240704,1955.0,center,0.008219179999999993,90,E5
166,Economics-1955-0,15,0.46418786,0.47201565,1955.0,center,0.007827790000000001,90,E5
167,Economics-1955-0,15,0.47436398,0.48806262,1955.0,center,0.013698639999999984,90,E5
168,Economics-1955-0,15,0.4774951,0.48571429,1955.0,center,0.008219189999999987,90,E5
169,Economics-1955-0,15,0.47553816,0.48610568,1955.0,center,0.010567519999999997,90,E5
170,Economics-1955-0,15,0.4774951,0.48532289,1955.0,center,0.007827790000000001,90,E5
171,Economics-1955-0,15,0.47710371,0.48610568,1955.0,center,0.00900196999999997,90,E5
172,Economics-1955-0,15,0.48884541000000004,0.5009784700000001,1955.0,center,0.012133060000000029,90,E5
173,Economics-1955-0,15,0.49041095,0.49902153,1955.0,center,0.008610579999999979,90,E5
174,Economics-1955-0,15,0.49001956,0.49902153,1955.0,center,0.00900196999999997,90,E5
175,Economics-1955-0,15,0.48962817000000003,0.49902153,1955.0,center,0.009393359999999962,90,E5
176,Economics-1955-0,15,0.48923679999999997,0.50058711,1955.0,center,0.01135031000000003,90,E5
177,Economics-1955-0,15,0.50293541,0.5154599,1955.0,center,0.01252449,90,E5
178,Economics-1955-0,15,0.51663405,0.52524459,1955.0,center,0.008610540000000055,90,E5
179,Economics-1955-0,15,0.52876711,0.5522505,1955.0,center,0.023483389999999993,90,E5
180,Economics-1955-0,15,0.5557730200000001,0.5675146600000001,1955.0,center,0.011741639999999998,90,E5
181,Economics-1955-0,15,0.57064581,0.57847357,1955.0,center,0.007827759999999961,90,E5
182,Economics-1955-0,15,0.5812132999999999,0.59452057,1955.0,center,0.013307270000000093,90,E5
183,Economics-1955-0,15,0.53972602,0.56007826,1955.0,center,0.02035224000000002,90,E5
